Zeitstempel,Covid restrictions,Flu season
17.10.21,1,1
18.10.21,1,1
19.10.21,1,1
20.10.21,1,1
21.10.21,1,1
22.10.21,1,1
23.10.21,1,1
24.10.21,1,1
25.10.21,1,1
26.10.21,1,1
27.10.21,1,1
28.10.21,1,1
29.10.21,1,1
30.10.21,1,1
31.10.21,1,1
01.11.21,1,1
02.11.21,1,1
03.11.21,1,1
04.11.21,1,1
05.11.21,1,1
06.11.21,1,1
07.11.21,1,1
08.11.21,1,1
09.11.21,1,1
10.11.21,1,1
11.11.21,1,1
12.11.21,1,1
13.11.21,1,1
14.11.21,1,1
15.11.21,1,1
16.11.21,1,1
17.11.21,1,1
18.11.21,1,1
19.11.21,1,1
20.11.21,1,1
21.11.21,1,1
22.11.21,1,1
23.11.21,1,1
24.11.21,1,1
25.11.21,1,1
26.11.21,1,1
27.11.21,1,1
28.11.21,1,1
29.11.21,1,1
30.11.21,1,1
01.12.21,1,1
02.12.21,1,1
03.12.21,1,1
04.12.21,1,1
05.12.21,1,1
06.12.21,1,1
07.12.21,1,1
08.12.21,1,1
09.12.21,1,1
10.12.21,1,1
11.12.21,1,1
12.12.21,1,1
13.12.21,1,1
14.12.21,1,1
15.12.21,1,1
16.12.21,1,1
17.12.21,1,1
18.12.21,1,1
19.12.21,1,1
20.12.21,1,1
21.12.21,1,1
22.12.21,1,1
23.12.21,1,1
24.12.21,1,1
25.12.21,1,1
26.12.21,1,1
27.12.21,1,1
28.12.21,1,1
29.12.21,1,1
30.12.21,1,1
31.12.21,1,1
01.01.22,1,1
02.01.22,1,1
03.01.22,1,1
04.01.22,1,1
05.01.22,1,1
06.01.22,1,1
07.01.22,1,1
08.01.22,1,1
09.01.22,1,1
10.01.22,1,1
11.01.22,1,1
12.01.22,1,1
13.01.22,1,1
14.01.22,1,1
15.01.22,1,1
16.01.22,1,1
17.01.22,1,1
18.01.22,1,1
19.01.22,1,1
20.01.22,1,1
21.01.22,1,1
22.01.22,1,1
23.01.22,1,1
24.01.22,1,1
25.01.22,1,1
26.01.22,1,1
27.01.22,1,1
28.01.22,1,1
29.01.22,1,1
30.01.22,1,1
31.01.22,1,1
01.02.22,1,1
02.02.22,1,1
03.02.22,1,1
04.02.22,1,1
05.02.22,1,1
06.02.22,1,1
07.02.22,1,1
08.02.22,1,1
09.02.22,1,1
10.02.22,1,1
11.02.22,1,1
12.02.22,1,1
13.02.22,1,1
14.02.22,1,1
15.02.22,1,1
16.02.22,1,1
17.02.22,1,1
18.02.22,0,1
19.02.22,0,1
20.02.22,0,1
21.02.22,0,1
22.02.22,0,1
23.02.22,0,1
24.02.22,0,1
25.02.22,0,1
26.02.22,0,1
27.02.22,0,1
28.02.22,0,1
